threshold,f1_micro,f1_macro
0.05,0.8605669275367218,0.6842602675071474
0.1,0.8767595818815331,0.6981854522249927
0.15000000000000002,0.8838590178753423,0.7039980244840847
0.2,0.8876889267614477,0.707122227041458
0.25,0.8902571532053604,0.710077870717341
0.3,0.891896087293978,0.7115617308459767
0.35000000000000003,0.8928009423283978,0.7132878576706109
0.4,0.8937317581653926,0.7144079203111902
0.45,0.8935733798260254,0.7144183033648522
0.5,0.893200420515131,0.7146390529308769
0.55,0.8926158643170974,0.7152181118473119
0.6000000000000001,0.8918386946475605,0.7146223187591039
0.6500000000000001,0.890412139198698,0.7141420959614646
0.7000000000000001,0.8885202580844271,0.7124727801861757
0.7500000000000001,0.8855197899445687,0.710703429629631
0.8,0.8810910054884096,0.707621556384402
0.8500000000000001,0.8740253023551878,0.7017768096465062
0.9000000000000001,0.8621213964237927,0.6927630921179881
0.9500000000000001,0.8335085579713193,0.6704976758608137
