pitch_midi,f1_score
40,0.8422425032594524
41,0.8983677910772578
42,0.8411885245901639
43,0.9399477806788512
44,0.8785559566787003
45,0.8081788761400411
46,0.9260394946645406
47,0.9130874643612619
48,0.9317317317317317
49,0.8978545174801265
50,0.8334632372044687
51,0.9036395950853875
52,0.8413833788068726
53,0.9123211813567144
54,0.8795881826320502
55,0.8345773303245965
56,0.8474828557758758
57,0.8400829081632653
58,0.8969818913480885
59,0.827037773359841
60,0.8704113817864573
61,0.8761053347585269
62,0.8881636459001108
63,0.8716287678476996
64,0.8578683783593144
65,0.8715147215324583
66,0.8663690001594642
67,0.8940963657293208
68,0.8076728924785462
69,0.8517528690457475
70,0.8325866932138709
71,0.8371014492753623
72,0.8466029723991507
73,0.7787418655097614
74,0.8231368186874305
75,0.5
76,0.8847184986595175
77,0.8388278388278388
78,0.7906976744186046
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
