pitch_midi,f1_score
40,0.4586341657282904
41,0.37743923313933586
42,0.3394572025052192
43,0.41561844863731656
44,0.4242300075121218
45,0.37558468556909397
46,0.4359108628614651
47,0.45812830535755344
48,0.4529822147980741
49,0.4932840361304816
50,0.4378038558256496
51,0.530034068495607
52,0.4170872386445566
53,0.5217085356414045
54,0.44459908760535066
55,0.33123661215191597
56,0.49597306575125427
57,0.39024756752695444
58,0.5281366725858796
59,0.44497145366710583
60,0.46869251710690896
61,0.5436992789694391
62,0.4790094027281155
63,0.47703090387478664
64,0.4328193440404544
65,0.4355661209309459
66,0.4277331189710611
67,0.434689946309275
68,0.3366438005528822
69,0.33615463113031996
70,0.31237766263673
71,0.23692160915884877
72,0.27706283118849356
73,0.1302465317663692
74,0.1827239003709592
75,0.11481007255655143
76,0.09757442116868799
77,0.1305439330543933
78,0.01694915254237288
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
