threshold,f1_micro,f1_macro
0.05,0.527359445950802,0.39846958911056735
0.1,0.6301641451258947,0.4747483130869556
0.15000000000000002,0.6815143739532596,0.5145856969013691
0.2,0.7123299030623668,0.5374432483868322
0.25,0.7319269720012616,0.5525222328067719
0.3,0.7442383875719344,0.562240215764459
0.35000000000000003,0.7515173355587588,0.5688580031784574
0.4,0.755134373899777,0.5728038175155641
0.45,0.7560180995475113,0.5746169110461897
0.5,0.75444479986792,0.5754509780972275
0.55,0.750235029418289,0.5728144644704151
0.6000000000000001,0.7433538385028704,0.5685539057687397
0.6500000000000001,0.7329078500558585,0.5601743820346624
0.7000000000000001,0.7193200851025304,0.5487945372541138
0.7500000000000001,0.7016530363668001,0.5349119357575638
0.8,0.6788098416936869,0.512862098815744
0.8500000000000001,0.644325764396808,0.4842570598755751
0.9000000000000001,0.5902257581236762,0.43614281881888595
0.9500000000000001,0.47908627874672016,0.34467366912130265
