pitch_midi,f1_score
40,0.8206334274067105
41,0.8559071249715456
42,0.7360746573344998
43,0.8861499895550449
44,0.8001898433792122
45,0.6927092103047651
46,0.7812233977866958
47,0.8197850360012522
48,0.86684350132626
49,0.8390985810998794
50,0.7156987562432671
51,0.7759154929577465
52,0.727367506516073
53,0.8018611865063978
54,0.7032181168057211
55,0.7109686194501117
56,0.7364467259296357
57,0.6935703273782534
58,0.7453199415287405
59,0.6833786759942998
60,0.7686732434064828
61,0.7694130983665688
62,0.708890349915991
63,0.7746581320919407
64,0.648937071228932
65,0.740809391411801
66,0.6919831223628692
67,0.7627046019367555
68,0.5886030295744169
69,0.6091528724440117
70,0.6233062330623306
71,0.6914119359534207
72,0.65983860955928
73,0.3941931881630374
74,0.636986301369863
75,0.3729508196721312
76,0.7225130890052356
77,0.7722772277227723
78,0.44
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
